2018-01-22 21:11:55,543 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:55,755 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:55,959 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:56,159 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:56,359 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:56,563 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:56,763 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:56,964 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:57,164 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:57,364 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:57,564 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:57,764 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:57,964 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:58,164 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:58,364 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:58,564 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:58,764 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:58,964 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:59,164 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:59,364 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:59,564 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:59,764 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:11:59,968 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:00,168 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:00,368 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:00,572 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:00,772 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:00,972 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:01,172 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:01,376 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:01,576 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:01,776 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:01,976 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:02,177 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:02,377 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:02,577 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:02,781 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:02,981 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:03,185 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:03,385 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:03,585 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:03,789 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:03,989 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:04,193 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:04,397 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:04,597 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:04,797 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:05,001 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:05,205 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:05,405 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:05,605 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:05,805 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:06,006 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:06,206 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:06,406 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:06,606 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:06,808 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:07,008 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:07,208 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:07,408 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:07,612 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:07,812 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:08,012 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:08,212 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:08,412 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:08,612 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:08,812 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:09,012 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:09,216 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:09,416 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:09,616 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:09,816 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:10,017 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:10,217 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:10,417 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:10,617 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:10,817 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:11,017 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:11,221 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:11,421 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
